Type,Entry Date,Entry Price,Exit Date,Exit Price,PnL,Cumulative_PnL
BUY,2024-10-18 12:15:00+05:30,1363.474976,2024-10-22 13:15:00+05:30,1354.349976,-912.5,-17180.00488
SELL,2024-10-22 13:15:00+05:30,1354.349976,2024-10-30 09:15:00+05:30,1345.349976,900,-16280.00488
BUY,2024-10-30 09:15:00+05:30,1345.349976,2024-10-31 13:15:00+05:30,1334.199951,-1115.002441,-17395.00732
SELL,2024-10-31 13:15:00+05:30,1334.199951,2024-11-06 14:15:00+05:30,1325.099976,909.9975586,-16485.00977
BUY,2024-11-06 14:15:00+05:30,1325.099976,2024-11-07 11:15:00+05:30,1305.5,-1959.997559,-18445.00732
SELL,2024-11-07 11:15:00+05:30,1305.5,2024-11-19 10:15:00+05:30,1276.800049,2869.995117,-15575.01221
BUY,2024-11-19 10:15:00+05:30,1276.800049,2024-11-19 14:15:00+05:30,1239.099976,-3770.007324,-19345.01953
SELL,2024-11-19 14:15:00+05:30,1239.099976,2024-11-22 14:15:00+05:30,1267.650024,-2855.004883,-22200.02441
BUY,2024-11-22 14:15:00+05:30,1267.650024,2024-11-28 14:15:00+05:30,1269.699951,204.9926758,-21995.03174
SELL,2024-11-28 14:15:00+05:30,1269.699951,2024-11-29 11:15:00+05:30,1295.449951,-2575,-24570.03174
BUY,2024-11-29 11:15:00+05:30,1295.449951,2024-12-09 09:15:00+05:30,1307,1155.004883,-23415.02686
SELL,2024-12-09 09:15:00+05:30,1307,2025-01-01 12:15:00+05:30,1222.150024,8484.997559,-14930.0293
BUY,2025-01-01 12:15:00+05:30,1222.150024,2025-01-06 14:15:00+05:30,1215.25,-690.0024414,-15620.03174
SELL,2025-01-06 14:15:00+05:30,1215.25,2025-01-07 12:15:00+05:30,1240.599976,-2534.997559,-18155.0293
BUY,2025-01-07 12:15:00+05:30,1240.599976,2025-01-10 13:15:00+05:30,1243.25,265.0024414,-17890.02686
SELL,2025-01-10 13:15:00+05:30,1243.25,2025-01-15 12:15:00+05:30,1254,-1075,-18965.02686
BUY,2025-01-15 12:15:00+05:30,1254,2025-01-21 15:15:00+05:30,1277,2300,-16665.02686
SELL,2025-01-21 15:15:00+05:30,1277,2025-01-30 11:15:00+05:30,1252.599976,2440.002441,-14225.02441
BUY,2025-01-30 11:15:00+05:30,1252.599976,2025-02-03 14:15:00+05:30,1245.650024,-694.9951172,-14920.01953
SELL,2025-02-03 14:15:00+05:30,1245.650024,2025-02-04 09:15:00+05:30,1259.150024,-1350,-16270.01953
BUY,2025-02-04 09:15:00+05:30,1259.150024,2025-02-07 13:15:00+05:30,1264.699951,554.9926758,-15715.02686
SELL,2025-02-07 13:15:00+05:30,1264.699951,2025-02-18 09:15:00+05:30,1222.650024,4204.992676,-11510.03418
BUY,2025-02-18 09:15:00+05:30,1222.650024,2025-02-24 09:15:00+05:30,1214.199951,-845.0073242,-12355.0415
SELL,2025-02-24 09:15:00+05:30,1214.199951,2025-03-06 10:15:00+05:30,1198,1619.995117,-10735.04639
BUY,2025-03-06 10:15:00+05:30,1198,2025-03-17 11:15:00+05:30,1238.75,4075,-6660.046387
SELL,2025-03-17 11:15:00+05:30,1238.75,2025-03-19 12:15:00+05:30,1251,-1225,-7885.046387
BUY,2025-03-19 12:15:00+05:30,1251,2025-03-26 13:15:00+05:30,1279.800049,2880.004883,-5005.041504
SELL,2025-03-26 13:15:00+05:30,1279.800049,2025-03-28 10:15:00+05:30,1291.650024,-1184.997559,-6190.039063
BUY,2025-03-28 10:15:00+05:30,1291.650024,2025-03-28 13:15:00+05:30,1275.349976,-1630.004883,-7820.043945
SELL,2025-03-28 13:15:00+05:30,1275.349976,2025-04-11 09:15:00+05:30,1212.800049,6254.992676,-1565.05127
BUY,2025-04-11 09:15:00+05:30,1212.800049,2025-05-07 14:15:00+05:30,1405.699951,19289.99023,17724.93896
SELL,2025-05-07 14:15:00+05:30,1405.699951,2025-05-12 11:15:00+05:30,1422.199951,-1650,16074.93896
BUY,2025-05-12 11:15:00+05:30,1422.199951,2025-05-20 11:15:00+05:30,1435.699951,1350,17424.93896
SELL,2025-05-20 11:15:00+05:30,1435.699951,2025-05-23 15:15:00+05:30,1426,969.9951172,18394.93408
BUY,2025-05-23 15:15:00+05:30,1426,2025-05-27 12:15:00+05:30,1421.099976,-490.0024414,17904.93164
SELL,2025-05-27 12:15:00+05:30,1421.099976,2025-06-04 14:15:00+05:30,1424,-290.0024414,17614.9292
BUY,2025-06-04 14:15:00+05:30,1424,2025-06-12 14:15:00+05:30,1442.400024,1840.002441,19454.93164
SELL,2025-06-12 14:15:00+05:30,1442.400024,2025-06-19 13:15:00+05:30,1437.099976,530.0048828,19984.93652
BUY,2025-06-19 13:15:00+05:30,1437.099976,2025-06-19 15:15:00+05:30,1427.800049,-929.9926758,19054.94385
